"userID","titel","beschreibung","preis","guildID","roleID"
"1105852622759538758","1",hi,1,"1097921696750637166","1126534943791648851"
"439150538005938208",Waldanteil von Vulpos Wald,"""Kaufe"" einen Anteil an Vulpos Wald und erhalte eine tolle spezielle Rolle.",10000,"925729625580113951","1104132507231858839"
"937335766223323156",titan,ein rang,100,"1130862156875837510","1131844287181635617"
"1114950885978685461",Klo 🚽,"Geh auf Klo, wenn du musst",200,"1120771161870049372",
"618115773700898850",rote syntax münze,"Eine Münze aus rotem Diamant, geprägt am Feuer des Schicksalsbergs. Mit dem Profilbild von Syntax auf der Vorderseite und einem Play Button auf der Rückseite. Verleiht dir einen Buff von 300 Elo in deinem Spiel.",10000,"951776421355868231",
"618115773700898850",rote fianchero münze,"Eine Münze aus rotem Diamant, geprägt am Feuer des Schicksalsbergs. Mit dem Profilbild von Fianchero auf der Vorderseite und einem Play Button auf der Rückseite. Verleiht dir einen Buff von 300 Elo in deinem Spiel.",10000,"951776421355868231",
"618115773700898850",rote willeinhelm münze,"Eine Münze aus rotem Diamant, geprägt am Feuer des Schicksalsbergs. Mit dem Profilbild von Willeinhelm auf der Vorderseite und einem Play Button auf der Rückseite. Verleiht dir einen Buff von 300 Elo in deinem Spiel.",10000,"951776421355868231",
"618115773700898850",Springerfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 20 Elo in deinem Spiel.",6000,"951776421355868231",
"618115773700898850",Läuferfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 20 Elo in deinem Spiel.",6000,"951776421355868231",
"618115773700898850",Turmfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 30 Elo in deinem Spiel.",10000,"951776421355868231",
"618115773700898850",Damenfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Von Elben verzaubert, leuchtet blau auf, wenn du vor hast sie im nächsten Zug einzustellen. Verleiht dir einen Buff von 50 Elo in deinem Spiel.",20000,"951776421355868231",
"618115773700898850",Königsfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Von Elben verzaubert, beschwört einen Verteidigungsring und kann nicht Matt gesetzt werden. Verleiht dir einen Buff von 100 Elo in deinem Spiel.",30000,"951776421355868231",
"618115773700898850",Schachbrett Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Von Elben verzaubert, verwandelt jede Verluststellung in eine Gewinnstellung. Verleiht dir einen Buff von 200 Elo in deinem Spiel.",40000,"951776421355868231",
"618115773700898850",Schachfeld Schach Discord,„Kaufe“ ein Stück von Schach Discord und erhalte die Rolle <@&1143290481950863410> Verleiht dir einen Buff von 500 Elo in deinem Spiel.,50000,"951776421355868231","1143290481950863410"
"618115773700898850",bauernfigur schach discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 10 Elo in deinem Spiel.",2000,"951776421355868231",
"480659288709398538",Schachfeld Schach Discord,„Kaufe“ ein Stück von Schach Discord und erhalte die Rolle <@&1143290481950863410> Verleiht dir einen Buff von 500 Elo in deinem Spiel.,50000,"951776421355868231","1143290481950863410"
"357982155860869132",Goldene Banane,Nur für Amtsträger der Affendynastie,666,"1124269928464265407",
"357982155860869132",Eis am stiel,Ein Eis am Stiel in verschiedenen Sorten.,49,"1124269928464265407",
"357982155860869132",Peitsche,Hilfsmittel zur Züchtigung verschiedenster Tierarten,499,"1124269928464265407",
"357982155860869132",Goldene Banane,Nur für Amtsträger der Affendynastie,666,"1124269928464265407",
"357982155860869132",Goldene Banane,Nur für Amtsträger der Affendynastie,666,"1124269928464265407",
"357982155860869132",Bananenbrot,Köstliches Brot mit getrockneten Bananenscheiben.,250,"1124269928464265407",
"357982155860869132",Bananenbrot,Köstliches Brot mit getrockneten Bananenscheiben.,250,"1124269928464265407",
"357982155860869132",Bananenbrot,Köstliches Brot mit getrockneten Bananenscheiben.,250,"1124269928464265407",
"357982155860869132",Relaxx GMT-Master 2,"Eine hochwertige und von Meisterhand gefertigte Uhr. Einsteigermodell, mehr geht immer...",12315,"1124269928464265407",
"1013519098669441136",Schachfeld Schach Discord,„Kaufe“ ein Stück von Schach Discord und erhalte die Rolle <@&1143290481950863410> Verleiht dir einen Buff von 500 Elo in deinem Spiel.,50000,"951776421355868231","1143290481950863410"
"1033052014709592155",VIP 6 Monate Abo,Nur für 6 Monate,80000,"1107366589180948543","1107377663494062182"
"541230700230344704",Premium Mitglied,Für immer,30000,"1107366589180948543","1107377811930492990"
"744922406442762331",goldene Banane,Nur für Amtsträger der Affendynastie,666,"1124269928464265407",
"969303275667079268",peitsche,Hilfsmittel zur Züchtigung verschiedenster Tierarten,499,"1124269928464265407",
