"guildID","titel","beschreibung","preis","roleID"
"981095284643881000",VIP Rang,Wenn du 200 Cookies erarbeitest/sammelst erhälts du den VIP Rang.,200,
"981095284643881000",Nitro Gift,Wenn du 10000 Cookies erarbeitest/sammelst erhälst du ein Nitro Gift.,10000,
"981095284643881000",Custom Rang,"Wenn du 5000 Cookies hast , kannst du dir eine Custom bzw eigene Selfrole aussuchen .",5000,
"981095284643881000",Custom Emoji,"Wenn du 1000 Cookies hast ,kannst du ein Admin ein Emoji empfehlen und er MUSS es als Server Emoji machen.",1000,
"1130573662911729846",Argentarvis,Flugsaurier,300,
"1130862156875837510",titan,ein rang,100,"1131844287181635617"
"1130862156875837510",Supriem,Toller rang für minecraft,50,"1131844908488065065"
"1130135249674850374",Shopmeister Rang,Mit diesem Rang kannst du in <#1135515896736137278> werben. Jede 6 Stunden,20000,"1135516621025329252"
"1130135249674850374",Mega Werber Rang,Mit diesem Rang kannst du in #mega-werber,35000,"1135529824979521536"
"1136985545503952896",<@&1137008217679999070> verdienen,Das ist die Rolle mit der ihr aus chilligem Spaß mehr Geld verdienen könnt,1000000000,"1137005856110682203"
"914314305019740210",Pistole,Nur mit Kleinen Waffenschein,1500,"993910762730954814"
"951776421355868231",Rote Syntax Münze,"Eine Münze aus rotem Diamant, geprägt am Feuer des Schicksalsbergs. Mit dem Profilbild von Syntax auf der Vorderseite und einem Play Button auf der Rückseite. Verleiht dir einen Buff von 300 Elo in deinem Spiel.",10000,
"951776421355868231",Rote Willeinhelm Münze,"Eine Münze aus rotem Diamant, geprägt am Feuer des Schicksalsbergs. Mit dem Profilbild von Willeinhelm auf der Vorderseite und einem Play Button auf der Rückseite. Verleiht dir einen Buff von 300 Elo in deinem Spiel.",10000,
"951776421355868231",Rote Fianchero Münze,"Eine Münze aus rotem Diamant, geprägt am Feuer des Schicksalsbergs. Mit dem Profilbild von Fianchero auf der Vorderseite und einem Play Button auf der Rückseite. Verleiht dir einen Buff von 300 Elo in deinem Spiel.",10000,
"951776421355868231",Bauernfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 10 Elo in deinem Spiel.",2000,
"951776421355868231",Springerfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 20 Elo in deinem Spiel.",6000,
"951776421355868231",Läuferfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 20 Elo in deinem Spiel.",6000,
"951776421355868231",Turmfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Verleiht dir einen Buff von 30 Elo in deinem Spiel.",10000,
"951776421355868231",Damenfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Von Elben verzaubert, leuchtet blau auf, wenn du vor hast sie im nächsten Zug einzustellen. Verleiht dir einen Buff von 50 Elo in deinem Spiel.",20000,
"951776421355868231",Königsfigur Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Von Elben verzaubert, beschwört einen Verteidigungsring und kann nicht Matt gesetzt werden. Verleiht dir einen Buff von 100 Elo in deinem Spiel.",30000,
"951776421355868231",Schachbrett Schach Discord,"Handgefertigt aus einem Material deiner Wahl am Feuer des Schicksalsbergs, graviert mit einem Symbol und/oder Initialen deiner Wahl. Von Elben verzaubert, verwandelt jede Verluststellung in eine Gewinnstellung. Verleiht dir einen Buff von 200 Elo in deinem Spiel.",40000,
"951776421355868231",Schachfeld Schach Discord,„Kaufe“ ein Stück von Schach Discord und erhalte die Rolle <@&1143290481950863410> Verleiht dir einen Buff von 500 Elo in deinem Spiel.,50000,"1143290481950863410"
"1148374316040335400",Supporter Rolle,HAHAHAHAH,1000,
"1124269928464265407",Goldene Banane,Nur für Amtsträger der Affendynastie,666,
"1124269928464265407",Eis am Stiel,Ein Eis am Stiel in verschiedenen Sorten.,49,
"1124269928464265407",Peitsche,Hilfsmittel zur Züchtigung verschiedenster Tierarten,499,
"1124269928464265407",Bananenbrot,Köstliches Brot mit getrockneten Bananenscheiben.,250,
"1125061975085428856",Handy,Ein Handy brauchst du um zu Telefoniren,499,
"1124269928464265407",Relaxx GMT-Master 2,"Eine hochwertige und von Meisterhand gefertigte Uhr. Einsteigermodell, mehr geht immer...",12315,
"1065266225921392710",Thesenuts,Ich probier mal aus,10,"1065266225921392710"
"1105527232358776852",Sith Laserschwert,Sobald du ein Sith Laserschwert besitzt bist du ein wahrer Sith.,10000,
"1105527232358776852",Jedi Laserschwert,Sobald du ein Jedi Laserschwert besitzt bist du ein wahrer Jedi.,10000,
"1107366589180948543",VIP 6 Monate Abo,Nur für 6 Monate,80000,"1107377663494062182"
"1107366589180948543",Premium Mitglied,Für immer,30000,"1107377811930492990"
"1159896999336882176",Konzertkarten für Cookiekonzert,Cookie singt für euch Lieder. Entweder Solo Konzert oder ewnn ihr es erlaubt mit anderen ;),5500,
"1166115642638880888",Reservist,.,10000,
