"guildID","name","output"
"974349292695322714",ip,Die ip ist Invsucht.de
"974349292695322714",Owner,Die Owner sind Mxtse und Luispupuis
"1117497871047082106",Ungerechter Timeout,"Bitte gib uns ein Parr Infos 

Name: 

Wann war der Timeout:

Wie lange geht der TO:

Von wem war der Timeout:

Der Grund für dem Timeout?

Warum ist der Timeout nicht fair?

Timeout log [Falls Vorhanden]:"
"1117497871047082106",Endbanungs Ticket,Ban-Vorlage    Name:   Alter:  Wann war der Ban:   Warum willst du Entband werden?  Wer hat dich Gebannt:  Was war der Grund für den Ban:  Ban log [Falls Vorhanden]:
"1117497871047082106",Ungerechter Warn,Warn-Vorlage:  Name:  Von wem ist der Warn:  Wie viele Warns haben sie:  Von wem ist der warn:  Worum handelt es sich in dem Warn:  Warum ist der Warn deiner Meinung Unfair:
"974349292695322714",shop,http://shop.invsucht.de/
"974349292695322714",updateversion,"1.52"
"974349292695322714",uver,"1.52"
"982650718404108378",fragen,"Hast du sonst noch ein Anliegen, ansonsten würden wir das Ticket schließen!"
"1047228829866938480",Crazer ist Live,"[<@&1119692861311557672>], Crazer ist nun Live komme über folgenden Link Rein: https://www.tiktok.com/@CRAZERYOUTUBE"
"1082024150048198676",Hallo! Abgelehnt,.abgelehnt
"1082024150048198676","**Abgelehnt**
Es tut uns leid aber Ihre Bewerbung entspricht nicht unseren Verhältnissen.",lll
"1082024150048198676",Abgelehnt,Es tut uns leid aber Ihre Bewertung entspricht nicht unseren Verhältnissen.
"1108824239101976677",Bewerbung,"Bewerbung
----------------------
Name:

Vorname:

Alter:

Warum sollten wir dich nehmen:

Stärken (min 2):

Schwächen (min 2):



Letzte Worte:

Ping: <@&1108836415200035000> <@&1108836943204188221> <@&1108837037936738397> 

Unterschrift:"
"974349292695322714",bewerben,bewerbe dich hier <#1072814520986251314>
"1097921696750637166",supporter,"Name?Alter?



Stärken/Schwächen



Onlinezeit?



Warum?"
"1097921696750637166",builder,"Name?Alter?



Stärke/Schwächen



Onlinezeit?



Warum?



Hast du Bilder von deinen Bauwerken?"
"1097921696750637166",Angenommen,"Lieber Bewerber!!

Danke für Ihre Bewerbung wir müssen ihnen mitteilen dass ihre Bewerbung Angenommen würde Sie sind jetzt T-Sup.

Haben sie noch weitere Fragen?"
"1072465470336274523",test,"1"
"988081985488564266",Test,<@&1025809499333865523>
"1135956551560081468",Angenommen,Sie wurden Angenommen  und werden entbannt
"1135956551560081468",Schade,Sie wurden Abgelehnte und werden nicht entbannt.
"1130135249674850374",nein,"Hallo unser Team hat sich  beraten und die Entscheidung getroffen das Sie leider abgelehnt wurden.
Mit freundlichen Grüßen
Partnerschaftsteam"
"1130135249674850374",ja,"Hallo unser Team hat sich beraten und die Entscheidung getroffen das Sie angenommen wurden.
Mit freundlichen Grüßen
Partnerschaftsteam"
"1130135249674850374",Team,"Hallo du wurdest ins Team aufgenommen.
Mit freundlichen Grüßen
Bewerbungsteam"
"1047228829866938480",live,"Output: [@Live Ping], Crazer ist nun Live komme über folgenden Link Rein: https://www.tiktok.com/@CRAZERYOUTUBE"
"1114845804675473438",test,test
"988081985488564266",smfalse,Leider hast du noch nicht die Anforderungen für die Rolle erreicht. Hier findest du die Anforderungen: <#1072199844279623730>
"1127663049407479908",Werbung,"1"
"1062819269387231332",Heheheha,@everyone
"1062819269387231332",h,<@everyone>
"1062819269387231332",Ping Owner,<@977483570337705984>
"1039141686623883264",lol,@everyone
"975118914667315302",Hallo,Hallo
"1161634391102062682",Bewerbung,"# Bewerbung ~ California State Prision:
> *``CS:RPG``*
> **Autor**: California State Prision
> **Betreff**: Bewerbung
> **Copyright**: 11.10.2023
> 
> # **Bewerbung**:
> ## __**§1. Über mich**__
> **Name**:
> Ihre Antwort.
> (Roblox Name) | **StaatsID**:
> Ihre Antwort.
> **Alter**:
> Ihre Antwort.
> 
> ## __**§2. Stärken und Schwächen**__:
> **Stärken**:
> Nennen Sie mindestens __3 Stärken__.
> 
> **Schwächen**:
> Nennen Sie mindestens __3 Schwächen__.
> 
> ## __**§3. Erfahrungen**__:
> Nennen Sie mindestens __3 Erfahrungen__ in Satzform.
> 
> ## __**§4. Kontaktmöglichkeiten**__:
> (RolePlay) | **E-Mail**:
> (RolePlay) | **Telefonnummer**:
> 
> ## __**§5. Schlusssatz & Verabschiedung**__:
> **Schlusssatz**:
> 
> 
> Mit freundlichen Grüßen
>"
"1161634391102062682",Beschwerde,"# Beschwerde ~ California State Prision:
> *``CS:RPG``*
> **Autor**: California State Prision
> **Betreff**: Beschwerde
> **Copyright**: 11.10.2023
> 
> # Beschwerde:
> **Name des Officers**:
> (Roblox Name) | **StaatsID des Officers**:
> **Dienstnummer des Officers**:
> **Rang des Officers**:
> **Grund**:
> **Beweise**:"
"1161634391102062682",CSRPG,"**Hier finden Sie alle wichtigen Links zu **__CS:RPG__**.*
<:CSRPG:1162643119477620796> | https://discord.gg/csrpg - Hauptserver
<:CSRPG:1162643119477620796> | https://discord.gg/ - Entbannungsdiscord (Work on)*."
