"emojis","tipp","lösung"
🤖🦊,"Es ist ein bekannter Bot, der auch auf diesem Server ist.",Vulpo
📞📘,Dort stehen Nummern drin.,Telefonbuch
🍎📱🖥,Sehr beliebte Marke im Elektronik Bereich.,Apple
⭕️❌,Es ist ein Spiel.,TicTacToe
🎶🎹,Grundbaustein der Musik.,Noten
🏠🏊‍♂️,Ein Lied von Peter Fox,Haus am See
🇬🇧⚔️🇪🇺,Ein Ereignis aus unserer Welt.,Brexit
🐍⌨️,Eine sehr bekannte Programmiersprache.,Python
🥳🍺🏝🏨,Beliebtes Urlaubsziel.,Mallorca
🗓🚢🏝🏨🥳,Es ist ein Zeitraum eines Schülers. (Öfters im Jahr),Ferien
🏰🔒,Könige wohnten dort in frühere Zeiten.,Königsschloss
👻⚡️,Ein guter Gedanke.,Geistesblitz
❄️🏒,Beliebte Wintersportart.,Eishockey
☀️👓,Wird an sonnigen Tagen getragen.,Sonnenbrille
🏎🚓,Ein Rennspiel von EA,Need for Speed
☀️🧴,Benutzt man an sonnigen Tagen.,Sonnencreme
🍞🌙,Französisches Gebäck.,Croissant
🤫🌃,Populäres Weihnachtslied.,Stille Nacht
🤴💍🧙‍♂️🧙‍♀️,Filmreihe,Herr der Ringe
🚌🗺,Notwendig für öffentliche Verkehrsmittel.,Fahrkarte
❄️🫖,Ein Getränk.,Eistee
🏴‍☠️☠️⛴,Plünderer auf dem Meer.,Piraten
👽🚲☎️,Fantasy-Film von 1982.,E.T.
🚪 🗝,Öffnet z.B.: Türen.,Schlüssel
🍫 🐮 🟣,Eine berühmte Schokoladenmarke.,Milka
🍃🌞📸♻️,Machen Pflanzen tagtäglich.,Photosynthese
👴🏼🇸🇪,Ein bekanntes Sprichwort.,Alter Schwede
⚪⚫🐴,Ausschließlich in Afrika oder im Zoo zu finden.,Zebra
🍱🍣🇯🇵,Hauptstadt,Tokio
🌞🌚🌎,"Alle haben einen riesigen Schatten, wenn sie reinschauen.",Sonnenfinsternis
👀📃,Hilft dir in der Klassenarbeit.,Spickzettel
🕕➡️💰,Sprichwort,Zeit ist Geld
😬🦷,Phantasiegestalt,Zahnfee
🏖️🏄🍨,Beliebter Sommerurlaubsort,Strand
🐁🕳️,Dort wohnt die Maus.,Mauseloch
🍭🐻,"Sie sind grün, rot, gelb, weiß.",Gummibärchen
👁️🚫🐍,Sie hat keine Beine ist aber keine Schlange.,Blindschleiche
🏊🚴🏃,Sportdisziplin,Triathlon
🐸👑,Grimms Märchen,Froschkönig
🤓📖🐀,"Jemand der viel liest, ist eine...",Leseratte
♨️🍫,Getränk,Heiße Schokolade
👂🏻🐚,"Äußerer, knorpeliger Teil des Ohres.",Ohrmuschel
🌧️🪱,"Ein Wurm, der sich meistens nur bei Regen über der Erde aufhält.",Regenwurm
⚛️ 🏭,Stromerzeuger,Atomkraftwerk
⚫⚪🐕,Hunderasse,Dalmatiner
❤️➡️🙈,Spruch,Liebe macht blind
 🎩🧑🏻🤚🏻🧓🏻🛣️➡️,"Er hilft der Dame über die Straße, ein wahrer....",Gentleman
⚽🎮📺,Ein sehr berühmtes Fußballspiel.,Fifa
🎱😱🐻,"Schulzubehör, Alltagsgegenstand",Kugelschreiber
🔥🦊,Ein weit verbreiteter Browser.,Firefox
🔵😬,Datenübertragung,Bluetooth
❄️⚽️⚔️,Eine Aktivität im Winter unter Freunden.,Schneeballschlacht
🍞🍫,Gefülltes Gebäck,Schokobrötchen
🪵🔥,"Mhhm, lecker Stockbrot...",Lagerfeuer
🐶😼🐰🌱🍃,Nintendo-Spiel,animal crossing
🪄🐰🕺,Sie verplüffen alle mit ihrem Tricks,Zauberer
🐶🐶👩🏻‍🏫,Ausbildungsstätte,Hundeschule
🙂❤️,Gefühl,Liebe
👰🏼🤵🏼💒💍,Neuer Lebensabschnitt,Hochzeit
🍪⚫⚪⚫,Bekannt für ihre schwarz-weiß Kekse,Oreo
🌩️💡,Wird beim Fotografieren  oft verwendet,Blitzlicht
👟🐊,Kunststoffschuhhersteller,Crocs
👱🏻‍♂️✂️🌳🥀,Arbeitet immer draußen,Gärtner
🍞 🥗 🍅 🧀 🍞,In den USA sehr beliebt,Sandwich
❄ 🌪,Unwetter,Schneesturm
🐱 🐭 🎲,Cartoonserie,Tom und Jerry
💸🐖💰,Dient zur Aufbewahrung von Geld,Sparschwein
🌡️❄️ 🔥🌬️,"Wird versucht, zu verhindern",Klimawandel
🔋🚘,Ist immer mehr auf den Straßen unterwegs,Elektroauto
🚗🚨,Unser Freund und Helfer,Polizei
👕👖🧣🧥,Trägt man jeden Tag,Kleidung
🍎➡️⬅️🌳,Spruch,Der Apfel fällt nicht weit vom Stamm
🕕🛫🏠🛄🛅,Urlaub,Flughafen
⭐⚔️🪐,"Luke, ich bin dein Vater",Star wars
🥶🔜🚪🚪🔙,Hat jeder in der Küche,Kühlschrank
🐻🇩🇪,Hauptstadt,Berlin
🇨🇵🌆,Hauptstadt,Paris
🧜‍♂️🌊🧜‍♀️,Wünscht sich Beine,Arielle
🌳🏫,Anbauflächen für Bäume,Baumschule
🏜️🧑🏻,"Es ist Zeit, schlafen zu gehen",Sandmann
🗽🏙️,Beliebtes Reiseziel in den USA,New York
⛑️🏊🏼,Rettet Leute vor dem Ertrinken,Rettungsschwimmer
🏠👨🏼‍⚕️,Braucht man bei Krankheit,Hausarzt
🛣️🏃,Cartoonserie,Roadrunner
🖼️🌂,Darauf schaust du wahrscheinlich gerade,Bildschirm
⭐🌠,Was kann man am Abend beobachten? Den...,Sternenhimmel
🚗🏫,Dort macht man seinen Führerschein,Fahrschule
🐛🌟💡,Leuchten im Dunkeln,Glühwürmchen
📚📕📘,Ein Ort mit vielen davon,Bibliothek
🍺🎡,"Volksfest, findet in München statt",Oktoberfest
🏗️👷🏼🦺,Kann oft zu langem Stau führen,Baustelle
🛌🏼💤,"Wenn du schläfst, ... du",Träumst
👿👹👺🧟🛏️,Sucht dich Nachts heim.,Albtraum
🍾📮,Wird ins Meer geworfen.,Flaschenpost
🚑🚨,Helfer in der Not.,Rettungsdienst
🧑🏼🤨💪🏼🟢,Fiktiver Superheld,Hulk
▶️🚪◀️⬅️🧦👗👕👔,Hat jeder von uns im Zimmer stehen.,Kleiderschrank
🔥🧯,Ist unter der Nummer 112 zu erreichen.,Feuerwehr
👜💡,Man benutzt es in der Dunkelheit.,Taschenlampe
🦷🪨,Entsteht wenn man zu wenig Zähne putzt.,Zahnstein
🦆🎩💰,Eine Comicfigur aus DuckTales.,Dagobert Duck
🔴🐂,Ein Energydrink.,RedBull
💥🌽,poP Pop PoP pOp,Popcorn
👅🔃,"Als Anna abends aß, aß Anna abends Ananas",Zungenbrecher
☁️🏠,Sehr hohes Gebäude,Wolkenkratzer
🍏🍇🍎🧃,Ist ein aus Früchten einer oder mehrerer Fruchtarten gewonnenes flüssiges Erzeugnis,Fruchtsaft
📟🕧🔙🕛,Back to the Future,Zeitreise
🧔‍♂️👣🌕,Erster Mensch auf dem Mond,Neil Armstrong
🐷👂,"Gebäck, dass mit Schokolade ummantelt ist.",Schweineohr
🎾 🧦,Kleidungsstück,Tennissocken
🧔‍♂️🍴💉🩸,Er lebt in Schloss Bran.,Dracula
🚗🚃,"Eine Straße, meist ohne Tempolimit in Deutschland.",Autobahn
🪨 🐐,Ein Tier und gleichzeitig ein Sternzeichen.,Steinbock
🔭🔬🧪,Überbegriff,Wissenschaft
🗑️🏀🏃,Sportart mit großen Menschen.,Basketball
🥐🥚🥣🍞,Das ... ist die wichtigste Mahlzeit des Tages.,Frühstück
🇦🇶🇪🇺🇩🇰🗺,Komm reise mit mir um die....,Welt
🎸🥁🎹,Gruppe aus Leuten mit Instrumenten.,Band
🍋🌳,Ein bekanntes Lied von Fools Garden.,Lemon Tree
🚗👨‍🏫,In der Fahrschule brauchst du einen...,Fahrlehrer
🦇🕴,Fiktive Figur,Batman
💋🖊️,Schminke,Lippenstift
🏋️‍♀️🏫,An dem Ort ist Vinc 24/7.,Fitnessstudio
🤿🌊,Kann man im Meer machen.,Tauchen
🚨❕,"Wenn es einen Notfall gibt, dann startet man sofort einen...",Notruf
💉🛡️🦠,Maßnahme zum Schutz vor Krankheiten,Impfung
⛪️ 🔔,Man hört es am Tag immer.,Kirchenglocken
🔋 🛴,Man muss nicht mehr selber treten.,E-Roller
🔌🥫,Gibt es in den meisten Häusern.,Steckdose
✈️👨,Ist ein Beruf.,Pilot
🌎🦍🦧,Ein Film.,Planet der Affen
🗻 🚢 💑,Ein Film Klassiker.,Titanic
👸 👩 👩 👩 🥂 💖 🌆,Film/Serie,Sex and the City
👳 🐯 🚣,Ein cooler Film.,Life of Pi
💶 👑 🌎,Sprichwort,Geld regiert die Welt
🧊🏃,Macht man gerne im Winter,Eislaufen
🪨🕛,Zeitabschnitt in der Geschichte der Menschheit,Steinzeit
💌📮📯,Wird heute nicht mehr so oft verwendet,Post
🐕‍🦺👨‍🦯,Hilft seinem Besitzer,Blindenhund
👨‍🦱👶🥳,Ist nur einmal im Jahr,Vatertag
🐕🐈🦆🐦🐇👨‍⚕️,"Da solltest du hin, damit es deinen Tieren gut geht.",Tierarzt
🏫📃,Auf dem Papier stehen Noten von Schulfächern,Zeugnis
🪓💎🦴🟫,"Bekanntes Spiel, das man auf vielen Plattformen zocken kann.",Minecraft
🏎️🏁👸🎱,Bekanntes Spiel von Nintendo.,Mario Kart
🦆🚶‍♀️,Es ist eine ARt Gang.,Entengang
😭👫,Manche Leute machen es in einer Beziehung.,Betrügen
🏇🥇🥈🥉,Viele Leute sind dort.,Reitturnier
🫀,Ein Organ,Herz
📆🤱🏼,Ein Termin,Geburtstermin
🤑🎉,Man gewinnt es.,Jackpot
™️,Abkürzung,Trademark
🤤👀,Lied von Eric Carmen bekannt aus Dirty Dancing.,Hungry Eyes
🚗💥🚙,Passiert oft auf Autobahnen.,Autounfall
🐎🆙,Sportart für Pferde bzw. Reiter.,Springreiten
😥💔😭,Hatte sicher schon jeder mal.,Liebeskummer
🧳🛤️▶️⏺️◀️🌍,Es gibt einen Roman und Film.,Die Reise zum Mittelpunkt der Erde
🕺💃💧,Sehr bekannter Tanzfilm.,Dirty Dancing
"9️⃣9️⃣🎈🎈🎈",Ein sehr bekanntes Lied.,"99 Luftballons"
🌍🚗📷🐘🦒,Beliebt bei Touristen,Safari
🧔🎓⬇️🍎,Entdecker der Gravitation,Isaac Newton
🍬🌈,Eine Süßigkeit,Skittles
🐭🏰🌈,Produziert Kinderfilme,Disney
🎈🎃👻,Die gruseligste Zeit des Jahres.,Halloween
✉️📃🎁,Damit wird etwas verpackt.,Geschenkpapier
⚫🐑,Sprichwörtlicher Ausdruck,Schwarzes Schaf
🌲🐻👦🐍,Einer der bekanntesten Zeichentrickfilme.,Dschungelbuch
👟🚐,Eine bekannte Schuhmarke.,Vans
🐴🏇,Es ist ein sport.,Reiten
🤖 ⚙️,"Gibt es viele in Discord. Manche gut, manche schlecht.",Bot Developer
❄️👸,Ist ein Film von Disney.,Eiskönigin
🌳🌲🌳🦊,Vulpo lebt dort.,Wald
📈📉⛑🥼,Gibt es im Krankenhaus.,Arzt
🎁🗺,Für Geburtstage,Geschenkkarte
🌍🔴,Ein Planet,Mars
💣⚛️🍄,Eine der gefährlichsten Waffen der Welt.,Atombombe
🔴⚪️🚬,Eine Zigarettenmarke,Lucky Strike
🧽⭐🦀🦑,Eine Kinderserie,Spongebob Schwammkopf
🩸🍊,Eine Frucht,Blutorange
🩸💎,Sehr wertvoll,Blutdiamant
👂👂🐘,Kinderfilm,Dumbo
🐵🏙️🗽,Ein Fantasy-Film,King Kong
🐛🎣,Beute zum Angeln,Köder
⛰️🎥,Produziert Filme,Paramount Pictures
🌃💥🥳,Beliebt an Silvester und auf Konzerten.,Feuerwerk
👵👺,Ein Fabelwesen mit Zauberkräften.,Hexe
👟📏📏📏,Eine Sportmarke,Adidas
✉️🖥️,"Einen Brief verschicken, aber online.",Email
👽👶🌍💪,Ein Held,Superman
🔫🎨,Taktisches Sportspiel,Paintball
✋➡️❤️,Ein Sprichwort,Hand aufs Herz
🍁❄️,Ein Land in Nordamerika,Kanada
⭕🔺🟥,"Rotes Licht, grünes Licht...",Squid Game
🤳,Eine Art von Foto.,Selfie
♨️🌊,Kommt fast jedes Jahr im Sommer.,Hitzewelle
🍕🍔🌮🍸🍷🥂,manchmal gehen wir dort essen,Restaurant
🛌➡️🧘,Ein Trauersprichwort,Ruhe in Frieden
🤧😷,Ist seit 2019.,Corona
🧅💍,Snack,Zwiebelringe
🐒🦧🦓🦃🦨🐼,Dort gibt es viele Tiere.,Zoo
🌵❄️,Aus dem Kühlregal.,Kaktuseis
🏖🏊‍♂️🛳,Es ist nicht an jedem Land.,Meer
🐹🐭🐰,Meistens klein,Nagetier
🐜🐻,Lebt im Wald.,Ameisenbären
🎥🎫,Da schaut man neue Filme.,Kino
💍👩🏼🧑🏼‍🦱❤️,Wird gemacht bevor geheirtatet wird.,Heiratsantrag
🏠📝,Kriegt man in der Schule auf.,Hausaufgaben
🐾🐱,Viele davon besitzen einen eigenen speziellen Charakter.,Katze
🧒⚡🧙‍♂️,Die Zahl 7 kommt häufig vor,Harry Potter
🔴⚪🐐,Das bekannteste Fußball masskötchen Deutschlands,Hennes
🐴🏎️🏁,Ein Sport,Pferderennen
🦓🚘,Als Fußgänger solltest du hierüber gehen,Zebrastreifen
🍫🥛,Ein leckeres Getränk,Kakao
🌳☀️🍁❄️,Unsere 4....,Jahreszeiten
👩🏻‍🦰🐴,ein bekannter Pferde film,Ostwind
✍🏻➕,Du machst es in der schule,mathe
💦🍉,Kann man essen in sommer,Wassermelone
🙀😧,haben viele vor spinnen,Angst
🤡⛺️,Witzige Show,Zirkus
💡⛓,Dekobeleuchtung,Lichterkette
🚪🔳,An der Mauer fest,Türrahmen
👰‍♀️🤬🤵‍♂️,Eine Streitform,Ehestreit
🔴⚪️🔵,Land,Frankreich
🤥🪵,Kinderfilm,Pinocchio
🌵🌲🪴🌳💐,Oberbegriff,Natur
❤️🔝🧠,Ein lied,Herz über Kopf
👉👄,Eine Hauptstadt aus Deutschland,Dortmund
👾🖥,Zerstört Computer,Computervirus
©,Das Recht auf z.B. ein Bild,Copyright
🎰🤑,Man wird süchtig danach,Casino
🔱💪🏋️,Eine Gym Legende,Zyzz
🕷🦸‍♀️🔫,Marvel Film,Black Widow
:zap: :tiger:,Etwas aus Pokemon,Pikachu
🧽🪸,Hat einen eckigen besten Freund,Spongebob
🔥🌶️,Eine Temperatur,heiß
😇🥺😭🪦,Passiert jedem,Tod
🌺🌏,Blume,Blumenerde
📸👨,Es ist ein beruf,Kameramann
☘😥,Gegenteil von Glück,unglück
⚡🔨👦,Bruder von Loki,Thor
🚪🧍🏻‍♂️,Bei Clubs am Eingang,Türsteher
🎄🎅,Jährliche tradition,Weinachten
🤱🏼👩🏼‍🍼,Es ist ein mini Job,Babysitten
🌋💥,Was gab es 1971 ein ...,Vulkanausbruch
🏫✒,Muss man als kind hin,Schule
:arrow_up: :steam_locomotive:,Transportiert Personen oder Güter,Aufzug
☀️🌼,es  ist hoch und eine blume,sonnenblume
👨‍🏫👩‍🏫,Es gibt sie in der Schule,Lehrer
